title,description,rating,itemType,identifier,notes,genreIds,tmdbId,popularity,releaseDate,coverLink,originalCoverLink,language,ean,discType,isDetailed,budget,revenue,runtime,credits,seasonNumber,originalSeasonNumber,episodeCount
Harry Potter and the Sorceror's Stone,"Harry Potter has lived under the stairs at his aunt and uncle's house his whole life. But on his 11th birthday, he learns he's a powerful wizardwith a place waiting for him at the Hogwarts School of Witchcraft and Wizardry. As he learns to harness his newfound powers with the help of the school's kindly headmaster, Harry uncovers the truth about his parents' deathsand about the villain who's to blame.",,MOVIE,,,"[12, 14]",671,232.827,2001-11-16 0:00:00,https://image.tmdb.org/t/p/w780/wuMc08IPKEatf9rnMNXvIDxqP4W.jpg,https://image.tmdb.org/t/p/w780/wuMc08IPKEatf9rnMNXvIDxqP4W.jpg,en,883929543014,,TRUE,125000000,976475550,152,,,,
Shanghai Noon,"Chon Wang, a clumsy imperial guard, trails Princess Pei Pei when she is kidnapped from the Forbidden City and transported to America. Wang follows her captors to Nevada, where he teams up with an unlikely partner, outcast outlaw Roy O'Bannon, and tries to spring the princess from her imprisonment.",,MOVIE,,,"[12, 28, 35, 37]",8584,21.793,2000-05-26 0:00:00,https://image.tmdb.org/t/p/w780/b0WwWRcDiDahkah5vZ0KjB4N9ZZ.jpg,https://image.tmdb.org/t/p/w780/b0WwWRcDiDahkah5vZ0KjB4N9ZZ.jpg,en,717951010605,,TRUE,55000000,99300000,110,,,,
The Outsiders,"When two poor Greasers, Johnny and Ponyboy, are assaulted by a vicious gang, the Socs, and Johnny kills one of the attackers, tension begins to mount between the two rival gangs, setting off a turbulent chain of events.",,MOVIE,,,"[80, 18]",227,31.37,1983-03-25 0:00:00,https://image.tmdb.org/t/p/w780/iwbbE0xiOuflxE99gESWC2b5Ohc.jpg,https://image.tmdb.org/t/p/w780/iwbbE0xiOuflxE99gESWC2b5Ohc.jpg,en,85392255429,,TRUE,10000000,33697647,91,,,,
Teenage Mutant Ninja Turtles,Four teenage mutant ninja turtles emerge from the shadows to protect New York City from a gang of criminal ninjas.,,MOVIE,,,[28],0,6.8,1990-03-30 0:00:00,,,en,794043412127,3,FALSE,,,95,,,,
Harry Potter and the Deathly Hallows: Part 1,"Harry, Ron and Hermione walk away from their last year at Hogwarts to find and destroy the remaining Horcruxes, putting an end to Voldemort's bid for immortality. But with Harry's beloved Dumbledore dead and Voldemort's unscrupulous Death Eaters on the loose, the world is more dangerous than ever.",,MOVIE,,,"[12, 14]",12444,127.948,2010-11-17 0:00:00,https://image.tmdb.org/t/p/w780/iGoXIpQb7Pot00EEdwpwPajheZ5.jpg,https://image.tmdb.org/t/p/w780/iGoXIpQb7Pot00EEdwpwPajheZ5.jpg,en,883929139446,,TRUE,250000000,954305868,146,,,,
Napoleon,Napoleon (AKA Muffin) hears wild dogs howling from his Sydney home and wants to go out to the wild Australian wilderness to join the pack. He climbs into a basket attached to balloons and finds himself off on the adventure of a lifetime along with his new found friend Birdo the galah. On a long journey of self discovery and crazy adventures Napoleon finds himself in a multitude of situations leading him to find who he truly is.,,MOVIE,,,[10751],0,6,1998-08-11 0:00:00,,,en,828706545461,3,FALSE,,,81,,,,
The Big Bang Theory: Season 3,"Worlds collide in Season 3! A love affair with Penny has opened a big, wide, wonderful world of romance for Leonard. But Sheldon likes the world just the way it was, thank you. All of which makes for a zany comic triangle with brainy, clueless Sheldon and practical, grounded Penny hilariously vying for the role of hypotenuse.",,TV_SHOW,,,[35],1418,222.769,2009-09-21 0:00:00,https://image.tmdb.org/t/p/w780/yzUeZH3Qhh21nQR2mH5VqHGrM9w.jpg,https://image.tmdb.org/t/p/w780/yzUeZH3Qhh21nQR2mH5VqHGrM9w.jpg,en,,,TRUE,,,,,3,3,23
Lords of Dogtown,"The radical true story behind three teenage surfers from Venice Beach, California, who took skateboarding to the extreme and changed the world of sports forever. Stacy Peralta, Tony Alva and Jay Adams are the Z-Boys, a bunch of nobodies until they create a new style of skateboarding that becomes a worldwide phenomenon. But when their hobby becomes a business, the success shreds their friendship.",,MOVIE,,,[18],9787,14.759,2005-06-03 0:00:00,https://image.tmdb.org/t/p/w780/k2NiPfydLSwmk28C6qpvpJPuqtq.jpg,https://image.tmdb.org/t/p/w780/k2NiPfydLSwmk28C6qpvpJPuqtq.jpg,en,43396127418,,TRUE,25000000,13411957,107,,,,
Hot Fuzz,"Former London constable Nicholas Angel finds it difficult to adapt to his new assignment in the sleepy British village of Sandford. Not only does he miss the excitement of the big city, but he also has a well-meaning oaf for a partner. However, when a series of grisly accidents rocks Sandford, Angel smells something rotten in the idyllic village.",,MOVIE,,,"[80, 28, 35]",4638,44.74,2007-02-14 0:00:00,https://image.tmdb.org/t/p/w780/zPib4ukTSdXvHP9pxGkFCe34f3y.jpg,https://image.tmdb.org/t/p/w780/zPib4ukTSdXvHP9pxGkFCe34f3y.jpg,en,25193327420,,TRUE,12000000,80600000,121,,,,
Pixar Short Films Collection: Volume 2,"Disney and Pixar present an incredible new collection of 12 short films, featuring multiple Academy Awards nominees and a host of family favorites. Join the celebration of imagination with this collection, packed with unforgettable animation, fantastic stories and captivating characters. Plus, enjoy all-new extras that share how Pixar's storied talent got their start including student films from acclaimed directors John Lasseter, Andrew Stanton and Pete Docter!",,MOVIE,,,"[10751, 16]",303659,5.907,2012-11-13 0:00:00,https://image.tmdb.org/t/p/w780/9thubK9R98tsPIFqxLfobFGqPZ7.jpg,https://image.tmdb.org/t/p/w780/9thubK9R98tsPIFqxLfobFGqPZ7.jpg,en,786936822175,,TRUE,0,0,75,,,,
The Polar Express,"When a doubting young boy takes an extraordinary train ride to the North Pole, he embarks on a journey of self-discovery that shows him that the wonder of life never fades for those who believe.",,MOVIE,,,"[16, 12, 10751, 14]",5255,118.182,2004-11-10 0:00:00,https://image.tmdb.org/t/p/w780/eOoCzH0MqeGr2taUZO4SwG416PF.jpg,https://image.tmdb.org/t/p/w780/eOoCzH0MqeGr2taUZO4SwG416PF.jpg,en,12569699885,,TRUE,165000000,310634054,100,,,,
The Big Bang Theory: Season 6,"Whether on or above Earth, hilarity is outrageously universal in TV's most popular comedy featuring four forward-thinking but socially backward geniuses. Fun discoveries multiply: Leonard learns jealousy is bad for a relationship (with Penny) but science is good for seduction (of Penny). Howard finds life in the International Space Station life is no escape from terrestrial turmoil between his mom and his new wife Bernadette. Raj meets someone special who may be a good match, if he can keep her from fleeing mid-date. And then there's Sheldon. He learns what not to say after facing harassment charges or competing for tenure at work and how Dungeons & Dragons can be the icebreaker his relationship with Amy needs.",,TV_SHOW,,,[35],1418,222.769,2012-09-27 0:00:00,https://image.tmdb.org/t/p/w780/loGfAOaq8mtuCUyRzXPylmogZlA.jpg,https://image.tmdb.org/t/p/w780/loGfAOaq8mtuCUyRzXPylmogZlA.jpg,en,,,TRUE,,,,,6,6,24
Despicable Me 2: 3 Mini-Movie Collection,"Bringing laughs for the whole family, the mischievous Minions return in three new hilariously entertaining mini-movies. In 'Puppy,' when Kyle is unwilling to behave like a real dog, the Minions go looking for one who will. As usual, nothing goes as planned, and when their new friend gets homesick, it's time for some very creative thinking! 'Panic In The Mailroom' is what happens when a suspicious package arrives and the Minions are totally unprepared. And in 'Training Wheels,' Agnes has some trouble with her bike and the Minions come to her aid - armed with a few helpful gadgets.",,MOVIE,,,[16],326396,16.711,2014-10-24 0:00:00,https://image.tmdb.org/t/p/w780/AoFxkze5c3JBkWm9zuAvulto2kv.jpg,https://image.tmdb.org/t/p/w780/AoFxkze5c3JBkWm9zuAvulto2kv.jpg,en,25192271601,,TRUE,0,0,13,,,,
A Christmas Story,"The comic mishaps and adventures of a young boy named Ralph, trying to convince his parents, teachers, and Santa that a Red Ryder B.B. gun really is the perfect Christmas gift for the 1940s.",,MOVIE,,,"[35, 10751]",850,22.281,1983-11-18 0:00:00,https://image.tmdb.org/t/p/w780/f3VITMLSmP3Ai65AvXT54RcF5Sw.jpg,https://image.tmdb.org/t/p/w780/f3VITMLSmP3Ai65AvXT54RcF5Sw.jpg,en,12569504424,,TRUE,3300000,20700000,93,,,,
The Office: Season 2,"Beginning with 'The Dundies', the second season further developed into the plot of the fear of company downsizing, along with the introduction of new characters and developing some of the minor onesespecially that of Dwight Schrute. Michael Scott soon starts a relationship with his boss Jan Levenson and, Pam Beesley and Jim Halperts relationship become one of the focal points of the season. Their compatibility becomes more obvious as Jims feelings for Pam continue to grow, while she struggles with her relationship with the warehouse worker Roy Anderson.",,TV_SHOW,,,[35],2316,330.802,2005-09-20 0:00:00,https://image.tmdb.org/t/p/w780/sAd3RhOjhTuaIBpyiI1QmB0YUq8.jpg,https://image.tmdb.org/t/p/w780/sAd3RhOjhTuaIBpyiI1QmB0YUq8.jpg,en,,,TRUE,,,,,2,2,22
Elf,"When young Buddy falls into Santa's gift sack on Christmas Eve, he's transported back to the North Pole and raised as a toy-making elf by Santa's helpers. But as he grows into adulthood, he can't shake the nagging feeling that he doesn't belong. Buddy vows to visit Manhattan and find his real dad, a workaholic.",,MOVIE,,,"[35, 10751, 14]",10719,74.261,2003-10-09 0:00:00,https://image.tmdb.org/t/p/w780/oOleziEempUPu96jkGs0Pj6tKxj.jpg,https://image.tmdb.org/t/p/w780/oOleziEempUPu96jkGs0Pj6tKxj.jpg,en,794043716829,,TRUE,32000000,228500000,97,,,,
The Santa Clause,"On Christmas Eve, divorced dad Scott Calvin and his son discover Santa Claus has fallen off their roof. When Scott takes the reins of the magical sleigh, he finds he is now the new Santa, and must convince a world of disbelievers, including himself.",,MOVIE,,,"[14, 18, 35, 10751]",11395,48.883,1994-11-11 0:00:00,https://image.tmdb.org/t/p/w780/2yqaR8HJUQowx8agxEjWVmyBIqo.jpg,https://image.tmdb.org/t/p/w780/2yqaR8HJUQowx8agxEjWVmyBIqo.jpg,en,786936198010,,TRUE,22000000,189833357,97,,,,
My Big Fat Greek Wedding,A young Greek woman falls in love with a non-Greek and struggles to get her family to accept him while she comes to terms with her heritage and cultural identity.,,MOVIE,,,"[35, 18, 10749]",8346,14.934,2002-04-19 0:00:00,https://image.tmdb.org/t/p/w780/ztc05ym0T3stnBpRHdxEs3Zwsmp.jpg,https://image.tmdb.org/t/p/w780/ztc05ym0T3stnBpRHdxEs3Zwsmp.jpg,en,26359199325,,TRUE,5000000,368744044,95,,,,
Dogma,An abortion clinic worker with a special heritage is called upon to save the existence of humanity from being negated by two renegade angels trying to exploit a loophole and reenter Heaven.,,MOVIE,,,"[14, 35, 12]",1832,16.607,1999-11-12 0:00:00,https://image.tmdb.org/t/p/w780/oxhHl2YokTqcP44QK5tiTgjgLgk.jpg,https://image.tmdb.org/t/p/w780/oxhHl2YokTqcP44QK5tiTgjgLgk.jpg,en,43396048911,,TRUE,10000000,31429330,130,,,,
Duck Dynasty: I'm Dreaming of a Redneck Christmas,"The Robertsons get ready for the Christmas Holidays, with Miss Kay cooking up a special dish, Willie playing Santa, and the rest of the gang putting up the Christmas lights.",,MOVIE,,,[],0,6.5,2012-12-05 0:00:00,,,en,31398179139,3,FALSE,,,43,,,,
Bride Wars,Two best friends become rivals when their respective weddings are accidentally booked for the same day.,,MOVIE,,,"[35, 10749]",10521,20.834,2009-01-09 0:00:00,https://image.tmdb.org/t/p/w780/eyXT8tmUoyHrg7YX1UVjmecHCWP.jpg,https://image.tmdb.org/t/p/w780/eyXT8tmUoyHrg7YX1UVjmecHCWP.jpg,en,24543575085,,TRUE,30000000,115375850,89,,,,
National Lampoon's Christmas Vacation,"It's Christmastime, and the Griswolds are preparing for a family seasonal celebration. But things never run smoothly for Clark, his wife Ellen, and their two kids. Clark's continual bad luck is worsened by his obnoxious family guests, but he manages to keep going, knowing that his Christmas bonus is due soon.",,MOVIE,,,[35],5825,69.486,1989-11-30 0:00:00,https://image.tmdb.org/t/p/w780/bIPDxGAuoIFeLTOsAsKkawxWIvq.jpg,https://image.tmdb.org/t/p/w780/bIPDxGAuoIFeLTOsAsKkawxWIvq.jpg,en,85391132417,,TRUE,27000000,71300000,97,,,,
Peter Pan,"Leaving the safety of their nursery behind, Wendy, Michael and John follow Peter Pan to a magical world where childhood lasts forever. But while in Neverland, the kids must face Captain Hook and foil his attempts to get rid of Peter for good.",,MOVIE,,,"[16, 10751, 12, 14]",10693,60.761,1953-02-05 0:00:00,https://image.tmdb.org/t/p/w780/6UTZmeQcxbtW32MyR5nKIx7ID4f.jpg,https://image.tmdb.org/t/p/w780/6UTZmeQcxbtW32MyR5nKIx7ID4f.jpg,en,786936718072,,TRUE,4000000,87400000,77,,,,
Harry Potter and the Order of the Phoenix,"Returning for his fifth year of study at Hogwarts, Harry is stunned to find that his warnings about the return of Lord Voldemort have been ignored. Left with no choice, Harry takes matters into his own hands, training a small group of students to defend themselves against the dark arts.",,MOVIE,,,"[12, 14]",675,139.732,2007-07-08 0:00:00,https://image.tmdb.org/t/p/w780/5aOyriWkPec0zUDxmHFP9qMmBaj.jpg,https://image.tmdb.org/t/p/w780/5aOyriWkPec0zUDxmHFP9qMmBaj.jpg,en,12569593268,,TRUE,150000000,938212738,138,,,,
DodgeBall: A True Underdog Story,"When megalomaniacal White Goodman, the owner of a trendy, high-end fitness center, makes a move to take over the struggling local gym run by happy-go-lucky Pete La Fleur, there's only one way for La Fleur to fight back: dodgeball. Aided by a dodgeball guru and Goodman's attorney, La Fleur and his rag-tag team of underdogs launch a knock-down, drag-out battle in which the winner takes all.",,MOVIE,,,[35],9472,22.045,2004-06-18 0:00:00,https://image.tmdb.org/t/p/w780/r8KbNHkkwFXLjV1suGwm0Qjure5.jpg,https://image.tmdb.org/t/p/w780/r8KbNHkkwFXLjV1suGwm0Qjure5.jpg,en,24543152699,,TRUE,20000000,168423227,92,,,,
The Land Before Time,"An orphaned brontosaurus named Littlefoot sets off in search of the legendary Great Valley. A land of lush vegetation where the dinosaurs can thrive and live in peace. Along the way he meets four other young dinosaurs, each one a different species, and they encounter several obstacles as they learn to work together in order to survive.",,MOVIE,,,"[10751, 16, 12]",12144,18.302,1988-11-18 0:00:00,https://image.tmdb.org/t/p/w780/vP2cDLZyj8mlu97m1N3q9nxNrRS.jpg,https://image.tmdb.org/t/p/w780/vP2cDLZyj8mlu97m1N3q9nxNrRS.jpg,en,25192336928,,TRUE,12500000,84704291,69,,,,
The Golden Compass,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",,MOVIE,,,"[12, 14]",2268,34.74,2007-12-04 0:00:00,https://image.tmdb.org/t/p/w780/6DTH9poR8RAw859L6OuokT7z993.jpg,https://image.tmdb.org/t/p/w780/6DTH9poR8RAw859L6OuokT7z993.jpg,en,794043120114,,TRUE,180000000,372200000,113,,,,